,vote_average,runtime,original_language,genres,year,season,rating,revenue_adj,budget_adj
122,7.227,143,en,"Action, Adventure, Thriller",2012,Fall,PG-13,1584686542,277413804.5
123,7.162,91,en,"Science Fiction, Thriller, Drama",2013,Fall,PG-13,987370967.7,143355914.5
124,7.5,132,en,"Action, Adventure, Science Fiction",2014,Spring,PG-13,1005181589,336018057.8
125,7.6,140,en,"Adventure, Action, Science Fiction",2018,Spring,PG-13,770279979.7,221973881.2
126,6.807,116,en,"Action, Drama, Horror, Science Fiction, Thriller",2013,Summer,PG-13,726152318.9,273058884.8
127,7.971,141,en,"Drama, Crime",2002,Winter,PG-13,625097344.4,92313946.92
128,7.488,133,en,"Action, Adventure, Science Fiction",2016,Winter,PG-13,1401443578,265410525.2
129,6.825,152,en,"Adventure, Action, Science Fiction",2017,Winter,PG-13,1725425126,258936991.2
130,6.614,143,en,"Action, Adventure, Science Fiction",2013,Summer,PG-13,912078820.8,307191245.4
131,7.227,95,en,"Family, Animation, Comedy",2010,Summer,PG,774337301.9,100114912.3
132,7.258,127,en,"Action, Adventure, Fantasy",2004,Summer,PG-13,1339385512,339524838
133,8.404,117,en,"Action, Adventure, Animation, Science Fiction",2018,Winter,PG,476247659.9,114157996
134,7.04,115,en,"Adventure, Comedy, Family, Fantasy",2005,Summer,PG,783063340.8,247299423.2
135,8.381,107,en,"Drama, Music",2014,Fall,R,17596593.65,4435438.362
136,8.166,151,en,"Drama, Thriller, Crime",2006,Fall,R,462110922.8,142692889.6
137,8.049,100,en,"Comedy, Drama",2014,Winter,R,234675439,40322166.93
138,7.792,103,en,"Animation, Family, Comedy",2010,Summer,G,1548109829,290188151.6
139,8.188,113,en,"Mystery, Thriller",2000,Fall,R,73986619.56,16763033.18
140,8.101,108,en,"Science Fiction, Drama, Romance",2004,Spring,R,122667142.6,33952483.8
141,8.316,111,en,"Crime, Drama, Action",1994,Fall,R,97384376.37,34407660.74
142,7.672,108,en,"Drama, Thriller, Horror",2010,Winter,R,477937050.5,18862229.85
143,7.897,132,en,"Action, Thriller, Science Fiction",2006,Winter,R,210093138.7,85615733.74
144,6.5,136,en,"Adventure, Action, Science Fiction",1999,Spring,PG,1768748875,220060864.3
145,7.862,126,en,"Romance, Science Fiction, Drama",2013,Winter,R,64648398.97,31401771.76
146,7.239,169,en,"Adventure, Fantasy, Action",2007,Spring,PG-13,1492660659,465971069.5
147,7.309,144,en,"Action, Adventure, Fantasy",2014,Winter,PG-13,1284959649,336018057.8
148,8.132,99,en,"Crime, Thriller",1992,Fall,R,6510538.74,2731933.382
149,7.746,188,en,"Drama, Mystery, Western",2015,Winter,R,209540068.5,59192065.28
150,8.147,117,en,"Horror, Science Fiction",1979,Spring,R,483024278.7,50635431.92
151,7.202,129,en,"Action, Adventure, Crime, Mystery",2009,Winter,PG-13,780298739.1,134013441.1
152,6.627,108,en,"Family, Fantasy, Adventure",2010,Spring,PG,1487892026,290188151.6
153,6.538,137,en,"Adventure, Action, Fantasy",2011,Spring,PG-13,1492906823,541076999.2
154,6.398,139,en,"Fantasy, Action, Adventure",2007,Spring,PG-13,1390121198,400735119.8
155,7.396,91,en,"Horror, Drama, Science Fiction",2018,Spring,PG-13,432531962.7,21563177.03
156,6.9,143,en,"Action, Adventure, Fantasy",2018,Winter,PG-13,1456818886,202947548.5
157,7.876,136,en,"Action, Crime, Thriller",2004,Spring,R,258309581.7,50928725.7
158,6.936,117,en,"Animation, Adventure, Comedy, Family",2006,Summer,G,732463449.5,190257186.1
159,7.589,92,en,"Animation, Comedy, Family",1999,Fall,G,951747678.7,172221546
160,7.184,98,en,"Action, Adventure, Comedy, Science Fiction",1997,Summer,PG-13,1164703868,177850408.5
161,7.606,114,en,"Action, Science Fiction",2014,Spring,PG-13,498034212.7,239244857.1
162,7.175,117,en,"Action, Adventure, War",2007,Spring,R,708403923.8,100960398.4
163,6.827,119,en,"Adventure, Action, Comedy, Fantasy",2017,Winter,PG-13,1288650581,116521646
164,7.931,118,en,"Science Fiction, Drama, Thriller",1982,Summer,R,139104242.9,93353128.31
165,7.411,140,en,"Adventure, Action, Science Fiction",2005,Spring,PG-13,1401363398,186298898.8
166,8.195,139,en,"Drama, History, War",2016,Fall,R,232635449.3,53082105.05
167,6.286,122,en,"Fantasy, Drama, Romance",2008,Fall,PG-13,586285380.6,55110858.44
